Date,County,Town,Race/Ethnicity,Population,Group share of town population,Individuals with at least one dose
March-11-2021,Berkshire,North Adams (includes Clarksburg),Asian,105.040981220537,0.00721945580300783,*
March-11-2021,Berkshire,North Adams (includes Clarksburg),Black,260.143438768994,0.0178796317095716,*
March-11-2021,Berkshire,North Adams (includes Clarksburg),Hispanic,549.52470756,0.0377687764603114,*
March-11-2021,Berkshire,North Adams (includes Clarksburg),Multi,382.634985118777,0.0262984630536704,*
March-11-2021,Berkshire,North Adams (includes Clarksburg),NH/PI,10.4900688292453,0.000720981348453359,*
March-11-2021,Berkshire,North Adams (includes Clarksburg),White,13108.7394411352,0.900962309460206,2372
March-11-2021,Berkshire,North Adams (includes Clarksburg),Other/Unknown,0,0,251
March-11-2021,Berkshire,North Adams (includes Clarksburg),Total,14549.7090205572,1,*
March-11-2021,Berkshire,Otis,AI/AN,7.03266701196938,0.0037408686750197,*
March-11-2021,Berkshire,Otis,Asian,5.44645420972055,0.00289711853389277,*
March-11-2021,Berkshire,Otis,Black,3.9204222431083,0.00208538023158691,*
March-11-2021,Berkshire,Otis,Hispanic,15.07885718,0.0080208581443929,*
March-11-2021,Berkshire,Otis,Multi,13.1102332502669,0.00697369302494407,*
March-11-2021,Berkshire,Otis,NH/PI,0,0,*
March-11-2021,Berkshire,Otis,White,1832.06158565018,0.974523859127871,286
March-11-2021,Berkshire,Otis,Other/Unknown,0,0,55
March-11-2021,Berkshire,Otis,Total,1879.95559933211,1,*
March-11-2021,Berkshire,Pittsfield,AI/AN,75.9801846223842,0.00172856962452209,*
March-11-2021,Berkshire,Pittsfield,Asian,731.20742442467,0.0166351654627745,140
March-11-2021,Berkshire,Pittsfield,Black,3192.00411431676,0.0726189516487695,424
March-11-2021,Berkshire,Pittsfield,Hispanic,3971.9354178,0.0903625984576755,329
March-11-2021,Berkshire,Pittsfield,Multi,1472.31051619343,0.0334954600176983,124
March-11-2021,Berkshire,Pittsfield,NH/PI,3.05993568512699,6.96143593831629e-05,*
March-11-2021,Berkshire,Pittsfield,White,34679.1007521733,0.788958864260088,9041
March-11-2021,Berkshire,Pittsfield,Other/Unknown,0,0,1636
March-11-2021,Berkshire,Pittsfield,Total,43955.5245820028,1,*
March-11-2021,Berkshire,Richmond,AI/AN,4.93484139587618,0.00378209677016399,*
March-11-2021,Berkshire,Richmond,Asian,10.6341904821187,0.00815011755176962,*
March-11-2021,Berkshire,Richmond,Black,3.99930946972273,0.00306509859485342,*
March-11-2021,Berkshire,Richmond,Hispanic,18.35817431,0.014069832481745,*
March-11-2021,Berkshire,Richmond,Multi,13.7582787393072,0.0105444405217223,*
March-11-2021,Berkshire,Richmond,NH/PI,0,0,*
March-11-2021,Berkshire,Richmond,White,1248.23506778698,0.956656038069965,357
March-11-2021,Berkshire,Richmond,Other/Unknown,0,0,32
March-11-2021,Berkshire,Richmond,Total,1304.78982843747,1,*
March-11-2021,Berkshire,Sandisfield,AI/AN,0,0,*
March-11-2021,Berkshire,Sandisfield,Asian,7.19518455686084,0.0077231096862218,*
March-11-2021,Berkshire,Sandisfield,Black,6.32823770317814,0.00679255320220055,*
March-11-2021,Berkshire,Sandisfield,Hispanic,12.36223387,0.0132692757760741,*
March-11-2021,Berkshire,Sandisfield,Multi,5.59484723508653,0.00600535240378598,*
March-11-2021,Berkshire,Sandisfield,NH/PI,1.90447350314255,0.00204420854573466,*
March-11-2021,Berkshire,Sandisfield,White,894.956166142073,0.960620895941453,120
March-11-2021,Berkshire,Sandisfield,Other/Unknown,0,0,58
March-11-2021,Berkshire,Sandisfield,Total,931.643450525792,1,*
March-11-2021,Berkshire,Savoy,AI/AN,8.52447727750915,0.0137402131819111,*
March-11-2021,Berkshire,Savoy,Asian,2.11405965111334,0.00340755560017887,*
March-11-2021,Berkshire,Savoy,Black,14.2807629059051,0.0230185054566536,*
March-11-2021,Berkshire,Savoy,Hispanic,13.74893854,0.0221612822011995,*
March-11-2021,Berkshire,Savoy,Multi,17.3389670645073,0.0279478842003646,*
March-11-2021,Berkshire,Savoy,NH/PI,0,0,*
March-11-2021,Berkshire,Savoy,White,559.223145103548,0.901386088535243,130
March-11-2021,Berkshire,Savoy,Other/Unknown,0,0,*
March-11-2021,Berkshire,Savoy,Total,620.403567590319,1,*
March-11-2021,Berkshire,Sheffield,AI/AN,3.07648355273302,0.00100733330004731,*
March-11-2021,Berkshire,Sheffield,Asian,18.6179274164345,0.00609606973122858,*
March-11-2021,Berkshire,Sheffield,Black,27.1064623593643,0.00887547152878809,*
March-11-2021,Berkshire,Sheffield,Hispanic,114.11624375,0.0373650924619999,39
March-11-2021,Berkshire,Sheffield,Multi,24.8243183421028,0.00812822889781448,*
March-11-2021,Berkshire,Sheffield,NH/PI,0,0,*
March-11-2021,Berkshire,Sheffield,White,2847.28705629502,0.932287469585757,694
March-11-2021,Berkshire,Sheffield,Other/Unknown,0,0,68
March-11-2021,Berkshire,Sheffield,Total,3054.08701627209,1,*
March-11-2021,Berkshire,Stockbridge,AI/AN,0.632236447372897,0.000370554294324769,*
March-11-2021,Berkshire,Stockbridge,Asian,22.8698152380436,0.0134040172503259,*
March-11-2021,Berkshire,Stockbridge,Black,12.057766996888,0.00706706701144838,*
March-11-2021,Berkshire,Stockbridge,Hispanic,43.50342338,0.0254973917088643,*
March-11-2021,Berkshire,Stockbridge,Multi,13.2689526639801,0.00777694391277304,*
March-11-2021,Berkshire,Stockbridge,NH/PI,0,0,*
March-11-2021,Berkshire,Stockbridge,White,1601.76036629194,0.938793049143242,545
March-11-2021,Berkshire,Stockbridge,Other/Unknown,0,0,68
March-11-2021,Berkshire,Stockbridge,Total,1706.19112247767,1,*
March-11-2021,Berkshire,Tyringham,AI/AN,0,0,*
March-11-2021,Berkshire,Tyringham,Asian,1.29180092185748,0.00534708210178468,*
March-11-2021,Berkshire,Tyringham,Black,1.90247611041253,0.00787481707663783,*
March-11-2021,Berkshire,Tyringham,Hispanic,2.88430768,0.0119388597041655,*
March-11-2021,Berkshire,Tyringham,Multi,0,0,*
March-11-2021,Berkshire,Tyringham,NH/PI,0,0,*
March-11-2021,Berkshire,Tyringham,White,235.511295014899,0.974839241120492,66
March-11-2021,Berkshire,Tyringham,Other/Unknown,0,0,*
March-11-2021,Berkshire,Tyringham,Total,241.589879726425,1,*
March-11-2021,Berkshire,West Stockbridge,AI/AN,0,0,*
March-11-2021,Berkshire,West Stockbridge,Asian,21.1296127638692,0.0179808644956919,*
March-11-2021,Berkshire,West Stockbridge,Black,13.9292480954756,0.011853502727693,*
March-11-2021,Berkshire,West Stockbridge,Hispanic,11.39515331,0.00969704035111835,*
March-11-2021,Berkshire,West Stockbridge,Multi,9.01340158457536,0.00767021877535945,*
March-11-2021,Berkshire,West Stockbridge,NH/PI,0,0,*
March-11-2021,Berkshire,West Stockbridge,White,1114.7095871127,0.948594858879554,390
March-11-2021,Berkshire,West Stockbridge,Other/Unknown,0,0,41
March-11-2021,Berkshire,West Stockbridge,Total,1175.11662294834,1,*
March-11-2021,Berkshire,Williamstown,AI/AN,3.04508263752074,0.000424196372010423,*
March-11-2021,Berkshire,Williamstown,Asian,345.067890874408,0.0480698111777321,*
March-11-2021,Berkshire,Williamstown,Black,94.4934170336027,0.0131634406865088,*
